id,x,y,ra,dec,r2,flag,u,g,r,i,z,uerr,gerr,rerr,ierr,zerr,e(b-v),u(SExflag),g(SExflag),r(SExflag),i(SExflag),zflag
90328,16201.39,8050.63,34.1619923,-4.2839807,6.41,8,15.7342,15.1423,14.669,14.6668,14.1646,3.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0207,2,2,2,2,-32768
93977,7605.4,8237.37,34.6073568,-4.2743992,41.09,8,23.5723,14.5318,14.6914,14.9289,18.0955,0.112,1.0E-4,3.0E-4,2.0E-4,0.0037,0.0225,35,35,35,35,-32768
95091,2472.05,8578.61,34.8733062,-4.256686,8.95,8,15.0465,14.5008,14.1454,14.1664,13.9415,2.0E-4,1.0E-4,1.0E-4,1.0E-4,2.0E-4,0.0202,2,2,2,2,-32768
97371,9646.54,8873.98,34.501604,-4.2415155,17.07,8,16.9158,15.1324,14.4376,13.9965,13.7019,0.0010,2.0E-4,2.0E-4,1.0E-4,2.0E-4,0.0219,0,0,0,0,-32768
99962,3811.7,8711.49,34.8038991,-4.2498512,6.12,8,15.6048,15.1489,14.8029,14.8183,14.3163,3.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0202,2,2,2,3,-32768
103320,6664.64,9163.67,34.6560886,-4.2265321,6.79,8,16.0494,15.2857,14.6631,14.6666,14.1718,4.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0214,2,2,2,2,-32768
104675,7489.91,9567.52,34.6133305,-4.2056743,29.18,8,16.0503,15.1678,14.8277,14.5724,14.4581,6.0E-4,2.0E-4,2.0E-4,2.0E-4,5.0E-4,0.0233,2,2,2,2,-32768
105718,1718.09,9611.05,34.9123381,-4.2033248,9.21,8,15.0793,14.4974,14.0182,14.062,13.7802,3.0E-4,1.0E-4,1.0E-4,1.0E-4,2.0E-4,0.0203,0,0,0,0,-32768
110581,13205.44,9827.27,34.3172345,-4.1922407,7.37,8,17.6617,15.8446,14.9669,14.5474,14.1015,9.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0221,0,0,0,0,-32768
111572,4849.95,9957.78,34.7500886,-4.1854792,6.03,8,15.7343,15.3414,14.7949,14.7913,14.2375,3.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0205,2,2,2,2,-32768
122133,12555.54,11037.05,34.3509146,-4.1297427,9.86,8,14.738,14.2946,14.0128,13.9905,13.7412,3.0E-4,1.0E-4,1.0E-4,1.0E-4,2.0E-4,0.0225,0,0,0,0,-32768
127265,10471.96,11015.11,34.4588458,-4.1308892,6.93,8,15.5978,15.1596,14.7445,14.6486,14.2414,3.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0231,2,2,2,2,-32768
