USNO-B1.0|RAJ2000|DEJ2000|e_RAJ2000|e_DEJ2000|Epoch|pmRA|pmDE|Ndet|B1mag|R1mag|B2mag|R2mag|Imag
0613-0036223|052.201237|-28.674973| 20| 80|1978.1|    -4|    -8|5|15.16|13.39|14.64|13.63|12.96
0613-0036224|052.203395|-28.651373|583|999|1976.4|     0|     0|2|     |19.36|     |19.79|
0613-0036225|052.206064|-28.649300|999|989|1968.8|     0|     0|2|24.88|     |20.14|     |
0613-0036226|052.208214|-28.612428|166|180|1989.3|     0|     0|2|     |     |20.18|19.49|
0613-0036227|052.209878|-28.657373| 52|100|1989.3|     0|     0|2|     |     |20.11|19.69|
0613-0036228|052.211070|-28.690142|206|614|1968.8|     0|     0|2|23.70|     |19.92|     |
0613-0036229|052.216284|-28.605398|999|999|1955.9|     0|     0|2|20.95|19.75|     |     |
0613-0036230|052.219312|-28.625323|999|675|1992.8|   528|  -526|3|     |     |20.20|19.87|18.58
0613-0036231|052.220859|-28.610550|921|999|1955.9|     0|     0|2|23.45|19.91|     |     |
0613-0036232|052.221423|-28.687242|111|282|1978.1|   -16|    14|5|20.19|19.09|19.89|19.01|18.32
0613-0036233|052.221975|-28.670095|579|705|1989.3|     0|     0|2|     |     |20.26|19.86|
0613-0036234|052.222348|-28.671814|375|264|1978.1|     0|     0|5|19.71|17.81|16.12|16.94|17.46
0613-0036235|052.223134|-28.671650|180| 92|1970.6|    48|    10|3|18.75|18.83|     |     |18.72
0613-0036236|052.223473|-28.626878|999|555|1968.8|     0|     0|2|23.11|     |19.72|     |
0613-0036237|052.224120|-28.659659|999|999|1976.4|     0|     0|2|     |19.86|     |19.87|
0613-0036238|052.225784|-28.654128|154|880|1978.2|  -202|  -134|3|23.19|     |20.03|19.79|
0613-0036239|052.226570|-28.636028| 94| 72|1983.6|     0|     0|4|     |19.99|20.26|19.35|17.82
0613-0036240|052.226667|-28.654998|999|999|1978.2|     0|  -626|3|     |18.88|20.21|19.82|
0613-0036241|052.227942|-28.697609|291| 70|1992.8|     0|     0|3|     |     |20.27|19.66|18.72
0613-0036242|052.228353|-28.639292|116|  5|1992.8|   -22|    22|3|     |     |20.11|19.86|18.69
0613-0036243|052.229189|-28.635137|158|101|1992.8|   -10|   -48|3|     |     |20.27|19.49|18.63
0613-0036244|052.230292|-28.610062| 40|259|1978.2|   -26|   -14|3|20.90|     |20.18|19.85|
0613-0036245|052.230800|-28.651931| 67|132|1978.1|    28|    10|5|16.14|13.55|15.56|13.86|12.61
0613-0036246|052.231095|-28.697900| 86| 82|1983.6|     0|     0|4|     |19.37|20.16|19.31|18.60
0613-0036247|052.231278|-28.697650|421|999|1990.8|     0|     0|2|     |     |20.24|     |18.47
0613-0036248|052.232650|-28.690528|999|999|1990.8|     0|     0|2|     |     |19.96|     |18.51
0613-0036249|052.233098|-28.691031| 67|223|1978.1|    -8|     6|5|19.96|18.63|19.26|19.04|18.48
0613-0036250|052.233189|-28.607428|284|  6|1983.6|   -18|    34|4|     |19.25|20.27|19.48|18.66
0613-0036251|052.233998|-28.627614|179|274|1984.3|   -20|    -2|3|     |19.69|     |19.68|18.72
0613-0036252|052.234206|-28.627423|750|439|1976.4|     0|     0|2|     |19.59|     |19.87|
0613-0036253|052.234887|-28.682748|177|291|1983.6|     0|     0|4|     |19.68|20.02|19.78|18.72
0613-0036254|052.236673|-28.656862|355|234|1990.8|     0|     0|2|     |     |19.91|     |18.70
0613-0036255|052.237159|-28.689114|466|443|1983.6|     0|     0|4|     |19.63|20.25|19.86|18.71
0613-0036256|052.239384|-28.630245|381|114|1990.8|     0|     0|2|     |     |19.82|     |18.18
0613-0036257|052.240187|-28.620950|409| 71|1984.3|   196|    60|3|     |20.30|     |19.82|18.68
0613-0036258|052.240512|-28.651975| 52|200|1989.3|     0|     0|2|     |     |20.18|19.82|
0613-0036259|052.244395|-28.669956|167| 64|1978.1|     0|     0|5|20.02|19.16|17.85|17.75|17.28
0613-0036260|052.244850|-28.669528|368|925|1968.8|     0|     0|2|20.23|     |18.04|     |
0613-0036261|052.244889|-28.670548|469|999|1998.4|     0|     0|2|     |     |     |19.84|18.57
0613-0036262|052.245617|-28.663831|422|111|1992.8|     0|     0|3|     |     |18.62|18.81|18.59
0613-0036263|052.245670|-28.604528|999|999|1978.2|   230|   266|3|     |19.43|20.26|19.82|
0613-0036264|052.246870|-28.678784|999|999|1983.6|     0|     0|4|20.63|     |20.14|19.61|18.69
0613-0036265|052.247209|-28.645895|713|999|1978.2|   -88|    70|3|     |19.87|20.21|19.87|
0613-0036266|052.247295|-28.693167|338|395|1983.6|     0|     0|4|     |19.41|20.21|19.78|18.68
0613-0036267|052.251514|-28.677678|516|166|1983.6|     0|     0|4|     |19.69|19.76|19.71|18.69
0613-0036268|052.254584|-28.639525| 50|250|1983.6|   -12|   -18|4|     |19.60|20.22|19.56|18.65
0613-0036269|052.255667|-28.607234|114|193|1983.6|     0|     0|4|20.03|     |19.80|19.19|18.72
0613-0036270|052.255839|-28.646173| 17| 10|1989.3|     0|     0|2|     |     |20.21|19.87|
0613-0036271|052.255967|-28.626473| 97|122|1992.8|     0|     0|3|     |     |19.77|19.65|18.70
0613-0036272|052.256309|-28.611500| 19| 40|1978.1|    -4|    14|5|15.57|13.88|15.19|14.04|13.52
0613-0036273|052.257328|-28.681620| 69| 94|1978.1|     6|     8|5|17.21|15.62|17.15|15.97|15.44
0613-0036274|052.259659|-28.645000|372|132|1978.2|    26|    26|3|     |19.98|20.24|19.59|
0613-0036275|052.261375|-28.612370|144|131|1983.6|     0|     0|4|     |19.05|20.11|19.07|18.45
0613-0036276|052.263287|-28.666706| 84| 84|1978.1|     0|     0|5|20.20|18.44|19.41|19.16|18.32
0613-0036277|052.267453|-28.655037|999|999|1978.2|  -188|   294|3|     |19.79|19.08|19.84|
0613-0036278|052.267864|-28.615787| 87| 79|1983.6|   -22|    10|4|     |18.88|20.22|19.27|17.78
0613-0036279|052.269584|-28.640320|953|999|1969.6|   254|   -50|3|23.99|19.67|     |19.87|
0613-0036280|052.270514|-28.664367|187|122|1978.1|     0|     0|5|20.07|18.21|19.36|18.74|18.04
0613-0036281|052.272506|-28.611073| 35| 64|1978.1|     0|     0|5|18.96|17.68|18.72|17.83|17.69
0613-0036282|052.272859|-28.616475|999|999|1990.8|     0|     0|2|     |     |19.81|     |17.73
0613-0036283|052.273703|-28.603437|856|999|1968.8|     0|     0|2|     |19.43|18.94|     |
0613-0036284|052.273803|-28.628356|171|115|1990.8|     0|     0|2|     |     |20.18|     |18.56
0613-0036285|052.275700|-28.676070|275|117|1972.6|     0|   -12|4|20.75|19.84|20.15|19.86|
0613-0036286|052.276348|-28.666470|214| 25|1989.3|     0|     0|2|     |     |20.22|19.81|
0613-0036287|052.281300|-28.690400|999|999|1977.9|     0|     0|2|20.23|     |     |     |18.67
0613-0036288|052.281514|-28.690462|521|929|1977.9|     0|     0|2|     |19.57|     |     |18.35
0613-0036289|052.281656|-28.688139| 39|192|1978.1|   -12|     6|5|16.60|14.32|13.78|13.61|13.03
0613-0036290|052.283559|-28.622875|999|999|1968.8|     0|     0|2|20.43|     |19.77|     |
0613-0036291|052.283814|-28.658898|127| 49|1989.3|     0|     0|2|     |     |20.21|19.87|
0613-0036292|052.283956|-28.653323| 63|361|1984.3|   -32|   -36|3|     |19.92|     |19.83|18.07
0613-0036293|052.285981|-28.651128|351|780|1976.4|     0|     0|2|     |19.61|     |19.76|
0613-0036294|052.288092|-28.680700|574| 54|1976.4|     0|     0|2|     |19.51|     |19.85|
0613-0036295|052.290367|-28.672087|376| 82|1978.1|     0|     0|5|20.49|17.60|19.54|18.12|16.23
0613-0036296|052.291509|-28.652334|242| 55|1978.2|     2|   -10|3|20.76|     |20.19|19.66|
0613-0036297|052.292631|-28.616442| 37|104|1978.1|     0|     0|5|16.53|15.53|16.97|15.85|15.36
0613-0036298|052.295012|-28.690559|127|204|1989.3|     0|     0|2|     |     |20.24|19.87|
0613-0036299|052.295514|-28.679281|302|124|1998.4|     0|     0|2|     |     |     |19.74|18.30
0613-0036300|052.299353|-28.660225|459|236|1983.6|     0|     0|4|     |19.47|20.15|19.49|18.72
0613-0036301|052.300267|-28.633064|268|109|1983.6|   -14|    20|4|     |19.38|20.23|19.33|17.91
0613-0036302|052.301062|-28.644850|286|248|1983.6|     0|     0|4|     |18.84|19.72|19.87|18.70
0613-0036303|052.302392|-28.678517| 92|999|1983.6|     0|     0|4|     |20.30|20.25|18.97|18.49
0613-0036304|052.302725|-28.679384|824|834|1976.4|     0|     0|2|     |19.65|     |19.87|
0613-0036305|052.305409|-28.697309| 67| 79|1978.1|     0|     0|5|20.26|18.70|17.70|17.67|17.63
0613-0036306|052.306981|-28.659375|101| 78|1978.1|    -8|    -8|5|20.68|18.26|19.77|18.31|17.70
0613-0036307|052.312414|-28.654467| 18| 66|1978.1|    -2|   -10|5|16.56|15.04|16.43|15.54|14.92
0613-0036308|052.313823|-28.636531|294|999|1968.8|     0|     0|2|     |19.87|19.19|     |
0613-0036309|052.313975|-28.672550|999|969|1976.4|     0|     0|2|     |19.71|     |19.76|
0613-0036310|052.314167|-28.665403|156|259|1992.8|     0|     0|3|     |     |20.16|19.87|18.26
0613-0036311|052.315673|-28.626748|567|600|1983.6|    28|    72|4|24.12|     |20.24|19.68|18.58
0613-0036312|052.319767|-28.665434| 32|190|1992.8|     0|     0|3|     |     |20.17|19.86|18.72
0613-0036313|052.329442|-28.600592| 88|175|1992.8|     0|     0|3|     |     |20.02|19.51|18.57
0613-0036314|052.338006|-28.664220|333|215|1998.4|     0|     0|2|     |     |     |19.84|18.45
0613-0036315|052.338042|-28.624223|999|999|1983.6|     0|     0|4|20.89|     |19.87|19.82|18.71
0613-0036316|052.339937|-28.662839| 51|113|1978.1|   -10|     8|5|18.19|16.18|17.95|16.20|15.83
0613-0036317|052.340837|-28.617723|189|115|1978.1|     0|     0|5|20.57|19.32|19.59|19.61|18.72
0613-0036318|052.342309|-28.647723| 48| 79|1978.1|     4|   -14|5|16.11|14.22|15.91|14.56|13.86
0613-0036319|052.348428|-28.636342|241|757|1984.3|    64|   378|3|     |20.19|     |19.60|17.41
0613-0036320|052.348570|-28.605653|160|289|1978.1|     0|     0|5|23.07|19.35|20.27|19.47|18.62
0613-0036321|052.348689|-28.635953|245|975|1968.8|     0|     0|2|     |19.83|20.25|     |
0613-0036322|052.351181|-28.699848| 90| 36|1978.1|    -6|    -6|5|17.80|16.07|17.58|16.34|15.96
0613-0036323|052.351264|-28.660403|101|130|1978.1|     0|     0|5|20.32|18.16|19.47|18.51|18.14
0613-0036324|052.353689|-28.605964|245|159|1989.3|     0|     0|2|     |     |20.26|19.73|
0613-0036325|052.360631|-28.690781|232|199|1998.4|     0|     0|2|     |     |     |19.62|18.63
0613-0036326|052.362812|-28.691309|616|999|1979.1|  -250|   498|3|     |19.60|20.18|     |17.21
0613-0036327|052.363037|-28.657309| 51| 88|1978.1|     0|     0|5|20.40|19.34|19.63|19.59|18.67
0613-0036328|052.365634|-28.624523| 62| 25|1978.1|     0|     0|5|15.92|14.36|15.64|14.67|14.13
0613-0036329|052.366559|-28.665220| 53| 41|1978.1|     0|     0|5|18.98|16.32|18.23|16.45|15.53
0613-0036330|052.367262|-28.698964|  4| 79|1990.8|     0|     0|2|     |     |20.20|     |18.48
0613-0036331|052.368881|-28.679348|109| 63|1983.6|   -14|    12|4|     |19.16|20.27|19.54|17.36
0613-0036332|052.371781|-28.651053| 93| 46|1978.1|     8|     8|5|16.46|14.91|16.35|15.19|14.65
0613-0036333|052.374492|-28.651887|999|999|1955.9|     0|     0|2|19.60|19.17|     |     |
0613-0036334|052.374759|-28.652156|251| 39|1978.1|   -10|     6|5|19.58|18.95|18.35|18.30|18.17
0613-0036335|052.374867|-28.648164| 19|119|1978.1|    -2|    14|5|16.78|14.80|16.55|14.97|14.57
0613-0036336|052.375614|-28.658239|999|999|1978.2|   208|   148|3|     |19.68|20.24|19.87|
0613-0036337|052.378170|-28.623650| 68| 90|1978.1|     0|     0|5|16.51|15.32|16.51|15.50|15.23
0613-0036338|052.378409|-28.608228| 74|249|1989.3|     0|     0|2|     |     |20.26|19.84|
0613-0036339|052.379156|-28.694173|210|396|1984.3|   -96|   296|3|20.98|     |     |19.87|18.69
0613-0036340|052.380212|-28.682695|222|375|1983.6|     0|     0|4|     |19.73|20.27|19.82|18.11
0613-0036341|052.380270|-28.655189|999|990|1977.9|     0|     0|2|     |20.15|     |     |18.72
0613-0036342|052.381692|-28.618575|999|999|1977.9|     0|     0|2|     |19.84|     |     |18.68
0613-0036343|052.384420|-28.625942|365|627|1984.3|   -16|   438|3|     |19.69|     |19.63|18.68
0613-0036344|052.385078|-28.617909|999|999|1983.6|   248|    86|4|     |19.38|20.25|19.75|18.34
0613-0036345|052.386342|-28.601687|527|189|1983.6|     0|     0|4|     |19.88|20.26|19.64|18.72
0613-0036346|052.388309|-28.661734|245|209|1983.6|   -24|    20|4|     |19.71|20.26|19.66|18.27
0613-0036347|052.390706|-28.601756| 79|234|1989.3|     0|     0|2|     |     |19.83|19.85|
0613-0036348|052.390792|-28.617925|999|999|1983.6|  -184|   136|4|19.02|     |20.24|19.83|18.68
0613-0036349|052.392448|-28.652612|  2| 23|1978.2|     4|     2|3|19.88|     |20.07|19.65|
0613-0036350|052.396839|-28.664598|167|106|1983.6|     6|    12|4|     |18.55|20.07|18.46|16.69
0613-0036351|052.396934|-28.635237| 90|103|1983.6|     0|     0|4|     |18.30|20.16|18.82|17.51
0613-0036352|052.397798|-28.656495|999|877|1983.6|     0|     0|4|     |19.85|20.24|19.69|18.71
0613-0036353|052.398589|-28.690664|469|554|1977.9|     0|     0|2|     |19.55|     |     |18.71
